condition,coverage,macro_f1,micro_f1,macro_precision,macro_recall,hamming_acc,exact_match_acc,mean_entropy
A,0.0,0.4065626553975492,0.6182942353155119,0.582608445996271,0.33346742578469163,0.8960736743080655,0.16462841015992474,0.2448912113904953
C,0.0,0.38939921677545647,0.6021307861866275,0.598016348909832,0.3116233452709423,0.8927563499529633,0.1599247412982126,0.2545192539691925
B,0.25,0.33273571250688244,0.5644613232060763,0.6098501602870331,0.25450649890959876,0.8921126900034658,0.16745061147695203,0.24084554612636566
C,0.25,0.3841883257723535,0.604819713716253,0.57710332482278,0.3156107342962978,0.8920136653958509,0.16462841015992474,0.25432059168815613
B,0.5,0.24047663413035889,0.4971632695944526,0.5546074917701771,0.192610229561572,0.8815170569886617,0.14393226716839136,0.2387341558933258
C,0.5,0.3859340456165966,0.6039621631268963,0.5572996673518354,0.3256256145127837,0.890132197851166,0.16086547507055504,0.25970736145973206
B,0.75,0.20735545457496948,0.46841673502871206,0.4007086726072525,0.1786184858689398,0.87166410853097,0.13076199435559738,0.23927852511405945
C,0.75,0.3847877231986694,0.5975265017667845,0.5371873050975008,0.32880754864351935,0.8872109719265238,0.1523988711194732,0.26541703939437866
