condition,coverage,macro_f1_all,micro_f1,macro_precision_all,macro_recall_all,hamming_acc,exact_match_acc,mean_entropy,macro_f1,macro_f1_valid,macro_precision_valid,macro_recall_valid,n_valid_classes
A,0.0,0.6721139312465843,0.7198375334625681,0.6478819768896451,0.7380060754685729,0.8148487066861884,0.2659834065397755,0.4483758509159088,0.6721139312465843,0.6721139312465843,0.6478819768896451,0.7380060754685729,8
C,0.0,0.6440442652791281,0.690371697268249,0.6218427386783687,0.7351478322836575,0.7891044411908248,0.22596388482186433,0.42010974884033203,0.6440442652791281,0.6440442652791281,0.6218427386783687,0.7351478322836575,8
B,0.25,0.6562858748857631,0.7140466581356433,0.6694239186740029,0.67137598740239,0.8227794045876037,0.27574426549536357,0.443103551864624,0.6562858748857631,0.6562858748857631,0.6694239186740029,0.67137598740239,8
C,0.25,0.657567970186345,0.7056257384349722,0.6320338349711825,0.73578573972372,0.8024036115178136,0.2425573450463641,0.43862947821617126,0.657567970186345,0.657567970186345,0.6320338349711825,0.73578573972372,8
B,0.5,0.6105490862582578,0.6870196862827667,0.6733629419658287,0.5817750208872431,0.8186310395314788,0.27037579306979015,0.43488118052482605,0.6105490862582578,0.6105490862582578,0.6733629419658287,0.5817750208872431,8
C,0.5,0.6662245910125263,0.7166972477064221,0.6362831468166661,0.7326652563167946,0.8116154221571499,0.2528062469497316,0.4637061357498169,0.6662245910125263,0.6662245910125263,0.6362831468166661,0.7326652563167946,8
B,0.75,0.5266407770024174,0.6320733616640573,0.6426122840752224,0.46835442227144997,0.7992923377257198,0.2445095168374817,0.4178518056869507,0.5266407770024174,0.5266407770024174,0.6426122840752224,0.46835442227144997,8
C,0.75,0.6620540363293794,0.715138162122464,0.623079498465639,0.7251940344216377,0.8107003416300634,0.2518301610541728,0.48659467697143555,0.6620540363293794,0.6620540363293794,0.623079498465639,0.7251940344216377,8
